RECDATETIME,SPECDESCSCI
2017-11-01 20:20:48,Pipistrellus nathusii
2017-11-01 20:30:29,Pipistrellus nathusii
2017-11-01 20:30:34,Pipistrellus nathusii
2017-11-01 20:31:04,Pipistrellus nathusii
2017-11-01 20:31:08,Pipistrellus nathusii
2017-11-01 20:32:54,Pipistrellus nathusii
2017-11-01 20:35:15,Pipistrellus nathusii
2017-11-01 20:36:35,Pipistrellus nathusii
2018-05-25 22:14:08,"Nyctalus, Vespertilio, Eptesicus"
2018-07-17 21:57:42,Pipistrellus pipistrellus
2018-07-17 21:58:54,Pipistrellus pipistrellus
2018-07-17 21:58:58,Pipistrellus pipistrellus
2018-07-17 22:23:07,Pipistrellus pipistrellus
2018-07-18 20:45:39,Pipistrellus pipistrellus
2018-07-18 20:56:23,Pipistrellus pipistrellus
2018-07-18 20:56:45,Pipistrellus pipistrellus
2018-07-21 20:49:11,Pipistrellus pipistrellus
2018-07-21 20:49:40,Pipistrellus pipistrellus
2018-07-21 20:49:48,Pipistrellus pipistrellus
2018-07-21 20:49:55,Pipistrellus pipistrellus
2018-07-21 20:50:14,Pipistrellus pipistrellus
2018-07-21 20:50:16,Pipistrellus pipistrellus
2018-07-21 20:50:34,Pipistrellus pipistrellus
2018-07-21 20:50:39,Pipistrellus pipistrellus
2018-07-21 20:50:41,Pipistrellus pipistrellus
2018-07-21 20:50:48,Pipistrellus pipistrellus
2018-07-21 20:50:59,Pipistrellus pipistrellus
2018-07-21 20:51:01,Pipistrellus pipistrellus
2018-07-21 20:51:09,Pipistrellus pipistrellus
2018-07-21 20:51:17,Pipistrellus pipistrellus
2018-07-21 20:51:21,Pipistrellus pipistrellus
2018-07-21 20:51:45,Pipistrellus pipistrellus
2018-07-21 20:51:50,Pipistrellus pipistrellus
2018-07-21 20:52:16,Pipistrellus pipistrellus
2018-07-21 20:52:19,Pipistrellus pipistrellus
2018-07-21 20:52:23,Pipistrellus pipistrellus
2018-07-21 20:52:31,Pipistrellus pipistrellus
2018-07-21 20:52:35,Pipistrellus pipistrellus
2018-07-21 20:52:39,Pipistrellus pipistrellus
2018-07-21 20:53:05,Pipistrellus pipistrellus
2018-07-21 20:53:52,Pipistrellus pipistrellus
2018-07-21 20:54:00,Pipistrellus pipistrellus
2018-07-21 20:54:08,Pipistrellus pipistrellus
2018-07-21 20:54:39,Pipistrellus pipistrellus
2018-07-22 22:04:04,Pipistrellus pipistrellus
2018-07-22 22:08:39,Pipistrellus pipistrellus
2018-07-22 22:09:35,Pipistrellus pipistrellus
2018-07-22 22:12:44,Pipistrellus pipistrellus
2018-07-22 22:12:50,Pipistrellus pipistrellus
2018-07-22 22:13:00,Pipistrellus pipistrellus
2018-07-22 22:13:07,Pipistrellus pipistrellus
2018-07-22 22:13:17,Pipistrellus pipistrellus
2018-07-22 22:13:31,Pipistrellus pipistrellus
2018-07-22 22:13:37,Pipistrellus pipistrellus
2018-07-22 22:13:38,Pipistrellus pipistrellus
2018-07-22 22:13:48,Pipistrellus pipistrellus
2018-07-22 22:14:01,Pipistrellus pipistrellus
2018-07-22 22:14:06,Pipistrellus pipistrellus
2018-07-22 22:14:18,Pipistrellus pipistrellus
2018-07-22 22:14:24,Pipistrellus pipistrellus
2018-07-22 22:14:29,Pipistrellus pipistrellus
2018-07-22 22:14:32,Pipistrellus pipistrellus
2018-07-22 22:14:51,Pipistrellus pipistrellus
2018-07-22 22:15:48,Pipistrellus pipistrellus
2018-07-22 22:16:03,Pipistrellus pipistrellus
2018-07-22 22:16:12,Pipistrellus pipistrellus
2018-07-22 22:16:22,Pipistrellus pipistrellus
2018-07-22 22:18:38,Pipistrellus pipistrellus
2018-07-22 22:18:50,Pipistrellus pipistrellus
2018-07-22 22:19:01,Pipistrellus pipistrellus
2018-07-22 22:21:00,Pipistrellus pipistrellus
2018-07-22 22:22:28,Pipistrellus pipistrellus
2018-07-22 22:22:43,Pipistrellus pipistrellus
2018-07-22 22:26:50,Pipistrellus pipistrellus
2018-07-22 22:27:22,Pipistrellus pipistrellus
2018-07-22 22:27:38,Pipistrellus pipistrellus
2018-07-22 22:27:59,Pipistrellus pipistrellus
2018-07-22 22:28:40,Pipistrellus pipistrellus
2018-07-23 20:28:16,Pipistrellus pipistrellus
2018-07-23 20:28:18,Pipistrellus pipistrellus
2018-07-23 20:30:13,Pipistrellus pipistrellus
2018-07-23 20:30:31,Pipistrellus pipistrellus
2018-07-23 20:31:37,Pipistrellus pipistrellus
2018-07-23 20:34:01,Pipistrellus pipistrellus
2018-07-23 20:34:03,Pipistrellus pipistrellus
2018-07-23 20:34:57,Pipistrellus pipistrellus
2018-07-23 20:35:33,Pipistrellus pipistrellus
2018-07-23 20:36:10,Pipistrellus pipistrellus
2018-07-23 20:36:39,Pipistrellus pipistrellus
2018-07-23 20:37:14,Pipistrellus pipistrellus
2018-07-23 20:38:30,Pipistrellus pipistrellus
2018-07-23 20:38:33,Pipistrellus pipistrellus
2018-07-23 20:39:24,Pipistrellus pipistrellus
2018-07-23 20:44:33,Pipistrellus pipistrellus
2018-07-23 20:46:31,Pipistrellus pipistrellus
2018-07-23 20:46:36,Pipistrellus pipistrellus
2018-07-23 20:48:42,Pipistrellus pipistrellus
2018-07-23 20:50:55,Pipistrellus pipistrellus
2018-07-23 20:51:05,Pipistrellus pipistrellus
2018-07-23 20:51:11,Pipistrellus pipistrellus
2018-07-23 20:54:28,Pipistrellus pipistrellus
2018-07-23 20:54:48,Pipistrellus pipistrellus
2018-07-23 20:55:05,Pipistrellus pipistrellus
2018-07-23 20:55:21,Pipistrellus pipistrellus
2018-07-23 20:55:51,Pipistrellus pipistrellus
2018-07-23 20:56:31,Pipistrellus pipistrellus
